Date,Open,High,Low,Close,Volume,Adj Close
2017-04-07,2356.590088,2363.76001,2350.73999,2355.540039,3053150000,2355.540039
2017-04-06,2353.790039,2364.159912,2348.899902,2357.48999,3201920000,2357.48999
2017-04-05,2366.590088,2378.360107,2350.52002,2352.949951,3770520000,2352.949951
2017-04-04,2354.76001,2360.530029,2350.719971,2360.159912,3206240000,2360.159912
2017-04-03,2362.340088,2365.870117,2344.72998,2358.840088,3416400000,2358.840088
2017-03-31,2364.820068,2370.350098,2362.600098,2362.719971,3354110000,2362.719971
2017-03-30,2361.310059,2370.419922,2358.580078,2368.060059,3158420000,2368.060059
2017-03-29,2356.540039,2363.360107,2352.939941,2361.129883,3106940000,2361.129883
2017-03-28,2339.790039,2363.780029,2337.629883,2358.570068,3367780000,2358.570068
2017-03-27,2329.110107,2344.899902,2322.25,2341.590088,3240230000,2341.590088
2017-03-24,2350.419922,2356.219971,2335.73999,2343.97998,2975130000,2343.97998
2017-03-23,2345.969971,2358.919922,2342.129883,2345.959961,3260600000,2345.959961
2017-03-22,2343.00,2351.810059,2336.449951,2348.449951,3572730000,2348.449951
2017-03-21,2379.320068,2381.929932,2341.899902,2344.02002,4265590000,2344.02002
2017-03-20,2378.23999,2379.550049,2369.659912,2373.469971,3054930000,2373.469971
2017-03-17,2383.709961,2385.709961,2377.639893,2378.25,5178040000,2378.25
2017-03-16,2387.709961,2388.100098,2377.179932,2381.379883,3365660000,2381.379883
2017-03-15,2370.340088,2390.01001,2368.939941,2385.26001,3906840000,2385.26001
2017-03-14,2368.550049,2368.550049,2358.179932,2365.449951,3172630000,2365.449951
2017-03-13,2371.560059,2374.419922,2368.52002,2373.469971,3133900000,2373.469971
2017-03-10,2372.52002,2376.860107,2363.040039,2372.600098,3432950000,2372.600098
